"is"	"becomes"
"1390"	7271	2
"1391"	7272	2
"1392"	7273	2
"1393"	7274	2
"1394"	7275	2
"1395"	7277	7
"1396"	7311	3
"1397"	7312	2
"1398"	7313	3
"1399"	7314	3
"1400"	7315	3
"1401"	7317	3
"1402"	7321	2
"1403"	7322	2
"1404"	7323	2
"1405"	7324	2
"1406"	7325	2
"1407"	7327	2
"1408"	7331	3
"1409"	7332	2
"1410"	7333	3
"1411"	7334	3
"1412"	7335	3
"1413"	7337	3
"1414"	7341	3
"1415"	7342	2
"1416"	7343	3
"1417"	7344	3
"1418"	7345	3
"1419"	7347	3
"1420"	7351	3
"1421"	7352	2
"1422"	7353	3
"1423"	7354	3
"1424"	7355	3
"1425"	7357	3
"1426"	7371	3
"1427"	7372	2
"1428"	7373	3
"1429"	7374	3
"1430"	7375	3
"1431"	7377	7
"1432"	7411	99
"1433"	7412	2
"1434"	7413	3
"1435"	7414	99
"1436"	7415	99
"1437"	7417	99
"1438"	7421	2
"1439"	7422	2
"1440"	7423	2
"1441"	7424	2
"1442"	7425	2
"1443"	7427	2
"1444"	7431	3
"1445"	7432	2
"1446"	7433	3
"1447"	7434	3
"1448"	7435	3
"1449"	7437	3
"1450"	7441	99
"1451"	7442	2
"1452"	7443	3
"1453"	7444	4
"1454"	7445	4
"1455"	7447	4
"1456"	7451	99
"1457"	7452	2
"1458"	7453	3
"1459"	7454	4
"1460"	7455	5
"1461"	7457	7
"1462"	7471	99
"1463"	7472	2
"1464"	7473	3
"1465"	7474	4
"1466"	7475	7
"1467"	7477	7
"1468"	7511	99
"1469"	7512	2
"1470"	7513	3
"1471"	7514	99
"1472"	7515	99
"1473"	7517	99
"1474"	7521	2
"1475"	7522	2
"1476"	7523	2
"1477"	7524	2
"1478"	7525	2
"1479"	7527	2
"1480"	7531	3
"1481"	7532	2
"1482"	7533	3
"1483"	7534	3
"1484"	7535	3
"1485"	7537	3
"1486"	7541	99
"1487"	7542	2
"1488"	7543	3
"1489"	7544	4
"1490"	7545	5
"1491"	7547	7
"1492"	7551	99
"1493"	7552	2
"1494"	7553	3
"1495"	7554	5
"1496"	7555	5
"1497"	7557	5
"1498"	7571	99
"1499"	7572	2
"1500"	7573	3
"1501"	7574	7
"1502"	7575	5
"1503"	7577	7
"1504"	7711	1
"1505"	7712	2
"1506"	7713	3
"1507"	7714	99
"1508"	7715	99
"1509"	7717	7
"1510"	7721	2
"1511"	7722	2
"1512"	7723	2
"1513"	7724	2
"1514"	7725	2
"1515"	7727	7
"1516"	7731	3
